Property_ID,Timestamp,half-hour,Boiler_Energy_Output,Circulation_Pump_Energy_Consumed,Heat_Pump_Energy_Output,Whole_System_Energy_Consumed,External_Air_Temperature,Heat_Pump_Heating_Flow_Temperature,Heat_Pump_Return_Temperature,Internal_Air_Temperature,Hot_Water_Flow_Temperature,Immersion_Heater_Energy_Consumed,Back-up_Heater_Energy_Consumed,Brine_Flow_Temperature,Brine_Return_Temperature
EOH0669,2021-11-12 23:00:00,23:00:00,,0.0,202.633,58.273,0.11,,33.66,,,0.0,,,
EOH0669,2021-11-12 23:30:00,23:30:00,,0.0,202.633,58.295,0.11,,32.67,,,0.0,,,
EOH0669,2021-11-13 00:00:00,00:00:00,,0.0,202.633,58.312,9.9,32.92,31.76,21.79,,0.0,,,
EOH0669,2021-11-13 00:30:00,00:30:00,,0.0,202.633,58.323,10.41,32.1,31.06,21.53,,0.0,,,
EOH0669,2021-11-13 01:00:00,01:00:00,,0.0,202.633,58.334,10.21,31.42,30.47,21.27,,0.0,,,
EOH0669,2021-11-13 01:30:00,01:30:00,,0.0,202.633,58.357,10.01,30.88,29.97,21.03,,0.0,,,
EOH0669,2021-11-13 02:00:00,02:00:00,,0.0,202.633,58.373,9.9,30.43,29.56,20.83,,0.0,,,
EOH0669,2021-11-13 02:30:00,02:30:00,,0.0,202.633,58.385,9.9,30.04,29.2,20.63,,0.0,,,
EOH0669,2021-11-13 03:00:00,03:00:00,,0.0,202.633,58.407,9.83,29.71,28.87,20.46,,0.0,,,
EOH0669,2021-11-13 03:30:00,03:30:00,,0.0,202.633,58.436,9.68,29.42,28.58,20.28,,0.0,,,
EOH0669,2021-11-13 04:00:00,04:00:00,,0.0,202.633,58.453,9.67,29.16,28.31,20.14,,0.0,,,
EOH0669,2021-11-13 04:30:00,04:30:00,,0.0,202.633,58.475,9.82,28.89,28.03,19.97,,0.0,,,
EOH0669,2021-11-13 05:00:00,05:00:00,,0.0,202.633,58.504,9.83,28.61,27.72,19.84,,0.0,,,
EOH0669,2021-11-13 05:30:00,05:30:00,,0.0,202.633,58.532,9.68,28.37,27.45,19.73,,0.0,,,
EOH0669,2021-11-13 06:00:00,06:00:00,,0.0,202.633,58.56,9.34,28.16,27.21,19.61,,0.0,,,
EOH0669,2021-11-13 06:30:00,06:30:00,,0.0,202.633,58.577,8.79,27.97,27.0,19.48,,0.0,,,
EOH0669,2021-11-13 07:00:00,07:00:00,,0.0,202.633,58.588,8.59,27.8,26.8,19.37,,0.0,,,
EOH0669,2021-11-13 07:30:00,07:30:00,,0.0,202.633,58.599,8.79,27.64,26.62,19.25,,0.0,,,
EOH0669,2021-11-13 08:00:00,08:00:00,,0.0,204.743,59.015,8.85,26.69,25.05,19.14,28.91,0.0,,,
EOH0669,2021-11-13 08:30:00,08:30:00,,0.0,210.593,60.427,8.75,42.77,37.17,19.53,,0.0,,,
EOH0669,2021-11-13 09:00:00,09:00:00,,0.0,213.751,61.259,8.84,46.46,41.51,20.58,,0.0,,,
EOH0669,2021-11-13 09:30:00,09:30:00,,0.0,216.596,61.97,9.14,44.49,38.97,21.28,,0.0,,,
EOH0669,2021-11-13 10:00:00,10:00:00,,0.0,216.607,61.983,9.58,42.12,37.85,21.61,,0.0,,,
EOH0669,2021-11-13 10:30:00,10:30:00,,0.0,216.607,61.994,10.18,38.58,35.51,21.59,,0.0,,,
EOH0669,2021-11-13 11:00:00,11:00:00,,0.0,216.607,62.021,10.59,36.17,33.66,21.32,,0.0,,,
EOH0669,2021-11-13 11:30:00,11:30:00,,0.0,216.747,62.052,10.79,33.49,31.45,21.1,,0.0,,,
EOH0669,2021-11-13 12:00:00,12:00:00,,0.0,221.999,63.265,10.97,37.77,32.54,21.1,,0.0,,,
EOH0669,2021-11-13 12:30:00,12:30:00,,0.0,226.913,64.614,11.12,49.36,44.08,21.9,,0.0,,,
EOH0669,2021-11-13 13:00:00,13:00:00,,0.0,230.396,65.535,11.08,48.95,43.5,22.75,,0.0,,,
EOH0669,2021-11-13 13:30:00,13:30:00,,0.0,233.477,66.323,10.83,47.29,41.87,23.3,,0.0,,,
EOH0669,2021-11-13 14:00:00,14:00:00,,0.0,233.787,66.412,10.86,44.74,40.64,23.54,,0.0,,,
EOH0669,2021-11-13 14:30:00,14:30:00,,0.0,233.787,66.423,11.21,40.86,37.98,23.33,,0.0,,,
EOH0669,2021-11-13 15:00:00,15:00:00,,0.0,233.787,66.449,11.26,38.27,35.85,22.62,,0.0,,,
EOH0669,2021-11-13 15:30:00,15:30:00,,0.0,233.787,66.462,10.96,36.18,34.26,22.33,,0.0,,,
EOH0669,2021-11-13 16:00:00,16:00:00,,0.0,237.265,67.667,10.61,35.18,40.8,22.16,46.31,0.0,,,
EOH0669,2021-11-13 16:30:00,16:30:00,,0.0,240.517,68.744,10.21,31.23,47.8,22.09,58.27,0.0,,,
EOH0669,2021-11-13 17:00:00,17:00:00,,0.0,246.325,70.237,9.93,44.03,38.41,22.34,,0.0,,,
EOH0669,2021-11-13 17:30:00,17:30:00,,0.0,247.745,70.663,9.78,49.38,44.97,23.09,,0.0,,,
EOH0669,2021-11-13 18:00:00,18:00:00,,0.0,247.745,70.674,9.65,44.65,41.67,23.22,,0.0,,,
EOH0669,2021-11-13 18:30:00,18:30:00,,0.0,247.745,70.696,9.55,41.44,39.07,23.01,,0.0,,,
EOH0669,2021-11-13 19:00:00,19:00:00,,0.0,247.745,70.723,9.45,38.97,37.16,22.61,,0.0,,,
EOH0669,2021-11-13 19:30:00,19:30:00,,0.0,247.745,70.738,9.35,37.03,35.7,22.24,,0.0,,,
EOH0669,2021-11-13 20:00:00,20:00:00,,0.0,247.745,70.761,9.25,35.5,34.57,21.91,,0.0,,,
EOH0669,2021-11-13 20:30:00,20:30:00,,0.0,247.745,70.776,9.15,34.28,33.69,21.65,,0.0,,,
EOH0669,2021-11-13 21:00:00,21:00:00,,0.0,247.745,70.787,9.05,33.26,32.98,21.4,,0.0,,,
EOH0669,2021-11-13 21:30:00,21:30:00,,0.0,247.895,70.8,8.95,31.56,32.16,21.19,,0.0,,,
